zip	type	decommissioned	primary_city	state	county	timezone	area_codes	country	latitude	longitude
501	UNIQUE	0	Holtsville	NY	Suffolk County	America/New_York	631	US	40.81	-73.04
544	UNIQUE	0	Holtsville	NY	Suffolk County	America/New_York	631	US	40.81	-73.04
601	STANDARD	0	Adjuntas	PR	Adjuntas Municipio	America/Puerto_Rico	787, 939	US	18.16	-66.72
602	STANDARD	0	Aguada	PR	Aguada Municipio	America/Puerto_Rico	787, 939	US	18.38	-67.18
603	STANDARD	0	Aguadilla	PR	Aguadilla Municipio	America/Puerto_Rico	787, 939	US	18.43	-67.15
604	PO BOX	0	Aguadilla	PR		America/Puerto_Rico	787, 939	US	18.43	-67.15
605	PO BOX	0	Aguadilla	PR		America/Puerto_Rico	787, 939	US	18.43	-67.15
606	STANDARD	0	Maricao	PR	Maricao Municipio	America/Puerto_Rico	787, 939	US	18.18	-66.98
610	STANDARD	0	Anasco	PR	Anasco Municipio	America/Puerto_Rico	787, 939	US	18.28	-67.14
611	PO BOX	0	Angeles	PR	Utuado Municipio	America/Puerto_Rico	787, 939	US	18.28	-66.81
612	STANDARD	0	Arecibo	PR	Arecibo Municipio	America/Puerto_Rico	787, 939	US	18.45	-66.73
613	PO BOX	0	Arecibo	PR		America/Puerto_Rico	787, 939	US	18.45	-66.73
614	PO BOX	0	Arecibo	PR		America/Puerto_Rico	787, 939	US	18.45	-66.73
616	STANDARD	0	Bajadero	PR	Arecibo Municipio	America/Puerto_Rico	787, 939	US	18.42	-66.67
617	STANDARD	0	Barceloneta	PR	Barceloneta Municipio	America/Puerto_Rico	787, 939	US	18.45	-66.56
622	STANDARD	0	Boqueron	PR	Cabo Rojo Municipio	America/Puerto_Rico	787, 939	US	17.99	-67.15
623	STANDARD	0	Cabo Rojo	PR	Cabo Rojo Municipio	America/Puerto_Rico	787, 939	US	18.08	-67.14
624	STANDARD	0	Penuelas	PR	Penuelas Municipio	America/Puerto_Rico	787, 939	US	18.06	-66.72
627	STANDARD	0	Camuy	PR	Camuy Municipio	America/Puerto_Rico	787, 939	US	18.48	-66.84
631	PO BOX	0	Castaner	PR	Lares Municipio	America/Puerto_Rico	787, 939	US	18.19	-66.82
636	PO BOX	0	Rosario	PR	San German Municipio	America/Puerto_Rico	787, 939	US	18.16	-67.08
637	STANDARD	0	Sabana Grande	PR	Sabana Grande Municipio	America/Puerto_Rico	787, 939	US	18.08	-66.96
638	STANDARD	0	Ciales	PR	Ciales Municipio	America/Puerto_Rico	787, 939	US	18.33	-66.47
641	STANDARD	0	Utuado	PR	Utuado Municipio	America/Puerto_Rico	787, 939	US	18.27	-66.7
646	STANDARD	0	Dorado	PR	Dorado Municipio	America/Puerto_Rico	787, 939	US	18.47	-66.27
647	STANDARD	0	Ensenada	PR	Guanica Municipio	America/Puerto_Rico	787, 939	US	17.96	-66.94
650	STANDARD	0	Florida	PR	Florida Municipio	America/Puerto_Rico	787, 939	US	18.36	-66.56
652	STANDARD	0	Garrochales	PR	Arecibo Municipio	America/Puerto_Rico	787, 939	US	18.45	-66.6
653	STANDARD	0	Guanica	PR	Guanica Municipio	America/Puerto_Rico	787, 939	US	17.99	-66.89
656	STANDARD	0	Guayanilla	PR	Guayanilla Municipio	America/Puerto_Rico	787, 939	US	18.02	-66.79
659	STANDARD	0	Hatillo	PR	Hatillo Municipio	America/Puerto_Rico	787, 939	US	18.48	-66.82
660	STANDARD	0	Hormigueros	PR	Hormigueros Municipio	America/Puerto_Rico	787, 939	US	18.14	-67.12
662	STANDARD	0	Isabela	PR	Isabela Municipio	America/Puerto_Rico	787, 939	US	18.5	-67.02
664	STANDARD	0	Jayuya	PR	Jayuya Municipio	America/Puerto_Rico	787, 939	US	18.22	-66.59
